Vehicle,Gender,Direction,Type,Queue,Waiting time [s],Gap,Vehicle type,Accepted
1,m,r,c,0,4.0,0.902003746,Car,False
1,m,r,c,0,4.0,1.403995603,Car,False
1,m,r,c,0,4.0,12.814,Car,True
2,f,r,c,0,3.796,2.203998293,Car,False
2,f,r,c,0,3.796,34.023,Car,True
4,m,r,c,0,0.672,0.0,Artificial,False
4,m,r,c,0,0.672,15.053,Car,True
5,m,r,c,0,6.25,3.773000042,Car,False
5,m,r,c,0,6.25,1.872007549,Car,False
5,m,r,c,0,6.25,8.912,Car,True
6,m,r,c,0,1.187,0.0,Artificial,False
6,m,r,c,0,1.187,42.029,Car,True
7,m,r,c,0,1.781,0.0,Artificial,False
7,m,r,c,0,1.781,4.076,Car,True
8,m,r,c,0,5.25,4.936994936,Car,False
8,m,r,c,0,5.25,24.991,Car,True
9,m,r,c,0,2.719,0.0,Artificial,False
9,m,r,c,0,2.719,12.022,Car,True
11,m,r,c,0,1.953,0.698997404,Car,False
11,m,r,c,0,1.953,6.218,Car,True
12,f,r,c,1,4.797,0.0,Artificial,False
12,f,r,c,1,4.797,46.466,Car,True
13,m,r,c,0,3.094,0.0,Artificial,False
13,m,r,c,0,3.094,42.903,Car,True
15,m,r,c,0,1.407,0.0,Artificial,False
15,m,r,c,0,1.407,25.953,Car,True
16,f,r,c,0,3.125,2.578005518,Car,False
16,f,r,c,0,3.125,8.407,Car,True
17,m,r,c,0,5.578,3.533995102,Car,False
17,m,r,c,0,5.578,11.949,Car,True
18,m,r,c,0,4.016,2.468993838,Car,False
18,m,r,c,0,4.016,11.557,Car,True
19,f,r,c,0,4.157,1.157997127,Car,False
19,f,r,c,0,4.157,2.278000116,Car,False
19,f,r,c,0,4.157,14.068,Car,True
20,m,r,c,0,1.735,0.0,Artificial,False
20,m,r,c,0,1.735,13.553,Car,True
21,m,r,c,1,4.469,1.818001594,Car,False
21,m,r,c,1,4.469,9.096,Car,True
22,m,r,c,0,5.157,0.91200168,Car,False
22,m,r,c,0,5.157,1.857000589,Car,False
22,m,r,c,0,5.157,7.502,Car,True
23,m,r,c,0,2.094,0.0,Artificial,False
23,m,r,c,0,2.094,8.935,Car,True
24,m,r,c,0,1.266,0.0,Artificial,False
24,m,r,c,0,1.266,10.583,Car,True
25,m,r,c,0,2.062,1.078999366,Car,False
25,m,r,c,0,2.062,17.02,Car,True
26,m,r,c,0,3.031,0.0,Artificial,False
26,m,r,c,0,3.031,13.504,Car,True
27,m,r,c,0,14.828,2.878999661,Car,False
27,m,r,c,0,14.828,3.447004035,Car,False
27,m,r,c,0,14.828,2.151999995,Car,False
27,m,r,c,0,14.828,4.634002224,Car,False
27,m,r,c,0,14.828,1.467000693,Car,False
27,m,r,c,0,14.828,19.422,Car,True
29,m,r,c,0,2.485,0.0,Artificial,False
29,m,r,c,0,2.485,18.993,Car,True
31,f,r,c,0,7.672,3.650996089,Car,False
31,f,r,c,0,7.672,0.234002943,Disturbance,False
31,f,r,c,0,7.672,18.474,Car,True
32,m,r,c,0,2.484,0.0,Artificial,False
32,m,r,c,0,2.484,10.771,Car,True
33,f,r,c,0,3.0,0.0,Artificial,False
33,f,r,c,0,3.0,12.983,Car,True
34,m,r,c,0,5.25,0.0,Artificial,False
34,m,r,c,0,5.25,14.223,Car,True
35,m,r,c,0,3.641,1.442002828,MTW,False
35,m,r,c,0,3.641,0.437002257,Car,False
35,m,r,c,0,3.641,12.324,Car,True
36,m,r,c,1,16.266,0.0,Artificial,False
36,m,r,c,1,16.266,3.942,Car,True
37,f,r,c,1,21.046,8.298999444,Car,False
37,f,r,c,1,21.046,2.230997756,Car,False
37,f,r,c,1,21.046,4.119008034,Car,False
37,f,r,c,1,21.046,2.479997601,Car,False
37,f,r,c,1,21.046,18.999,Car,True
38,f,r,c,0,10.453,2.80099767,Car,False
38,f,r,c,0,10.453,15.264,Car,True
39,f,r,c,0,13.75,1.757993872,Car,False
39,f,r,c,0,13.75,5.085991323,Car,False
39,f,r,c,0,13.75,4.244002327,Car,False
39,f,r,c,0,13.75,7.259,Car,True
40,m,r,c,1,4.516,0.546000849,Car,False
40,m,r,c,1,4.516,1.940001547,Car,False
40,m,r,c,1,4.516,11.131,Car,True
41,m,r,c,0,4.453,0.313996474,Car,False
41,m,r,c,0,4.453,9.022,Car,True
42,m,r,c,0,4.625,2.96000205,Car,False
42,m,r,c,0,4.625,0.878004681,Car,False
42,m,r,c,0,4.625,5.343,Car,True
43,m,r,c,0,2.156,0.0,Artificial,False
43,m,r,c,0,2.156,5.624,Car,True
44,m,r,c,0,3.5,2.060999672,Car,False
44,m,r,c,0,3.5,7.561,Car,True
45,m,r,c,0,3.593,2.764003302,Car,False
45,m,r,c,0,3.593,24.891,Car,True
46,m,r,c,0,13.797,1.953003879,Car,False
46,m,r,c,0,13.797,7.066,Car,True
47,m,r,c,0,1.016,0.0,Artificial,False
47,m,r,c,0,1.016,5.129,Car,True
48,m,r,c,0,2.391,1.112996365,Car,False
48,m,r,c,0,2.391,5.302,Car,True
49,m,r,c,0,2.968,0.0,Artificial,False
49,m,r,c,0,2.968,8.852,Car,True
50,m,r,c,1,18.75,4.867995109,Car,False
50,m,r,c,1,18.75,1.520007849,Car,False
50,m,r,c,1,18.75,5.609997734,Car,False
50,m,r,c,1,18.75,25.148,Car,True
51,f,r,c,0,9.547,0.201001714,Car,False
51,f,r,c,0,9.547,4.249997064,Car,False
51,f,r,c,0,9.547,22.554,Car,True
52,f,r,c,0,3.782,0.0,Artificial,False
52,f,r,c,0,3.782,9.836,Car,True
53,m,r,c,0,5.125,4.40099905,Car,False
53,m,r,c,0,5.125,13.196,Car,True
55,m,r,c,0,1.828,0.0,Artificial,False
55,m,r,c,0,1.828,8.284,Car,True
56,m,r,c,0,2.391,0.0,Artificial,False
56,m,r,c,0,2.391,7.505,Car,True
57,f,r,c,0,3.594,1.970998149,Car,False
57,f,r,c,0,3.594,6.767,Car,True
58,m,r,c,0,2.219,0.0,Artificial,False
58,m,r,c,0,2.219,6.314,Car,True
59,m,r,c,0,2.875,0.0,Artificial,False
59,m,r,c,0,2.875,19.777,Car,True
60,m,r,c,1,5.734,2.107991974,MTW,False
60,m,r,c,1,5.734,2.780009061,Car,False
60,m,r,c,1,5.734,8.884,Car,True
61,f,r,c,0,19.968,2.060003902,Car,False
61,f,r,c,0,19.968,2.760003135,Car,False
61,f,r,c,0,19.968,2.140000463,Car,False
61,f,r,c,0,19.968,1.769996434,Car,False
61,f,r,c,0,19.968,9.729991481,Car,False
61,f,r,c,0,19.968,19.342,Car,True
62,m,r,c,0,16.532,0.295006435,Car,False
62,m,r,c,0,16.532,1.779994369,Car,False
62,m,r,c,0,16.532,5.029996857,Car,False
62,m,r,c,0,16.532,3.000003844,Car,False
62,m,r,c,0,16.532,2.020005137,Car,False
62,m,r,c,0,16.532,1.800000295,Car,False
62,m,r,c,0,16.532,10.603,Car,True
63,m,r,c,0,11.328,4.422996516,Car,False
63,m,r,c,0,11.328,1.509999856,Car,False
63,m,r,c,0,11.328,1.809998229,Car,False
63,m,r,c,0,11.328,2.190000191,Car,False
63,m,r,c,0,11.328,7.755,Car,True
64,f,r,c,0,4.797,2.132996868,Car,False
64,f,r,c,0,4.797,11.906,Car,True
65,f,r,c,1,7.875,5.109001647,Car,False
65,f,r,c,1,7.875,11.894,Car,True
66,m,r,c,0,9.453,3.437003072,Car,False
66,m,r,c,0,9.453,8.644,Car,True
67,f,r,c,1,3.188,0.0,Artificial,False
67,f,r,c,1,3.188,6.332,Car,True
68,m,r,c,1,7.344,4.238004561,Car,False
68,m,r,c,1,7.344,2.219993994,Car,False
68,m,r,c,1,7.344,6.065,Car,True
69,f,r,c,1,10.797,0.285994212,Car,False
69,f,r,c,1,10.797,6.951008365,Car,False
69,f,r,c,1,10.797,7.61,Car,True
70,m,r,c,0,9.469,2.518007855,Car,False
70,m,r,c,0,9.469,2.119994536,Car,False
70,m,r,c,0,9.469,4.219,Car,True
71,m,r,c,0,8.157,3.382001154,Car,False
71,m,r,c,0,8.157,21.667,Van,True
73,m,r,c,0,12.672,1.372995973,Car,False
73,m,r,c,0,12.672,6.833008386,Car,False
73,m,r,c,0,12.672,17.717,Car,True
74,m,r,c,0,7.172,3.249000467,Car,False
