rejected,accepted,F(g2),F(g1),LN(F(g1)-F(g2)
1.403996,12.814,0.0010175,0.997867,-0.00316
0,15.053,0,0.999761,-0.00024
3.773,8.912,0.1757593,0.94044,-0.2683
0,42.029,0,1,0
0,4.076,0,0.231011,-1.46529
4.936995,24.991,0.409951,1,-0.52755
0,12.022,0,0.99556,-0.00445
0.698997,6.218,8.47E-06,0.665461,-0.40729
0,42.903,0,1,0
0,25.953,0,1,-1.20E-09
3.533995,11.949,0.1369437,0.995256,-0.15279
2.468994,11.557,0.0268084,0.993253,-0.03413
0,13.553,0,0.998946,-0.00105
1.818002,9.096,0.0049675,0.948143,-0.0585
1.857001,7.502,0.0056243,0.841232,-0.1796
0,8.935,0,0.941455,-0.06033
0,10.583,0,0.98429,-0.01583
1.078999,17.02,0.0001796,0.999969,-0.00021
0,13.504,0,0.998895,-0.00111
4.634002,19.422,0.3449524,0.999998,-0.42305
0,18.993,0,0.999996,-3.70E-06
0,10.771,0,0.986607,-0.01348
0,14.223,0,0.999452,-0.00055
1.442003,12.324,0.0012058,0.996633,-0.00458
0,3.942,0,0.205829,-1.58071
1.940002,11.131,0.0072409,0.990181,-0.01721
0.313996,9.022,2.04E-08,0.945158,-0.0564
2.960002,5.343,0.064465,0.496458,-0.83935
0,5.624,0,0.55413,-0.59036
2.061,7.561,0.0101961,0.847136,-0.178
2.764003,24.891,0.0468333,1,-0.04797
1.953004,7.066,0.007523,0.791894,-0.24287
0,5.129,0,0.451152,-0.79595
1.112996,5.302,0.0002215,0.487852,-0.7182
0,8.852,0,0.937719,-0.0643
5.609998,25.148,0.551319,1,-0.80144
4.400999,13.196,0.2959931,0.998515,-0.35308
0,8.284,0,0.906107,-0.0986
0,7.505,0,0.841536,-0.17253
0,6.314,0,0.6818,-0.38302
0,19.777,0,0.999998,-1.50E-06
2.780009,8.884,0.0481392,0.939183,-0.11536
5.029997,10.603,0.4299447,0.984553,-0.58949
4.422997,7.755,0.3005495,0.865322,-0.57133
3.437003,8.644,0.122562,0.927425,-0.21708
4.238005,6.065,0.2627992,0.638408,-0.97921
2.518008,4.219,0.0296237,0.259002,-1.47238
3.382001,21.667,0.1147789,1,-0.12192
6.833008,17.717,0.7612222,0.999985,-1.43228
3.249,21.256,0.0971064,1,-0.10215
1.997006,20.805,0.0085391,1,-0.00858
0,66.409,0,1,0
0,13.168,0,0.998474,-0.00153
0,9.988,0,0.974281,-0.02606
0,16.349,0,0.999937,-6.30E-05
0,15.697,0,0.999876,-0.00012
1.967998,24.323,0.0078584,1,-0.00789
0,10.554,0,0.983901,-0.01623
5.132001,6.13,0.4517925,0.65005,-1.61819
0,7.254,0,0.814428,-0.20527
2.387002,3.354,0.0225244,0.110922,-2.42591
0,39.967,0,1,0
3.586998,8.813,0.1451474,0.935892,-0.23478
8.049004,19.468,0.8894913,0.999998,-2.20268
0,14.008,0,0.999323,-0.00068
6.130997,9.049,0.6502268,0.946264,-1.21727
5.070001,6.443,0.4385265,0.702961,-1.33016
3.712,9.06,0.1654178,0.946709,-0.24681
0,17.265,0,0.999976,-2.40E-05
5.787999,33.021,0.5864788,1,-0.88305
2.199002,27.467,0.0145664,1,-0.01467
0,11.119,0,0.990078,-0.00997
3.053999,23.989,0.0742079,1,-0.07711
1.634001,14.769,0.0026223,0.999682,-0.00294
2.214995,10.651,0.015149,0.985168,-0.03044
0,10.635,0,0.984966,-0.01515
0.854001,27.718,3.56E-05,1,-3.60E-05
0.790996,25.471,2.06E-05,1,-2.10E-05
0,22.741,0,1,-5.30E-08
0,18.373,0,0.999993,-7.30E-06
2.039994,11.681,0.0096279,0.99396,-0.01579
0,4.972,0,0.417481,-0.87352
0,29.827,0,1,-1.10E-11
0,19.749,0,0.999998,-1.60E-06
2.371002,13.181,0.0217486,0.998493,-0.02353
1.263001,11.496,0.0005133,0.992877,-0.00767
0,34.101,0,1,-5.60E-14
0.122995,10.841,1.25E-11,0.987386,-0.01269
0.186001,7.986,3.36E-10,0.88464,-0.12257
3.635003,13.322,0.1527815,0.998683,-0.16735
2.137003,11.964,0.0124611,0.99532,-0.01729
0,14.756,0,0.999678,-0.00032
0,13.384,0,0.998759,-0.00124
5.724001,7.752,0.5739857,0.865055,-1.23419
4.273003,12.401,0.2698345,0.996864,-0.31879
0.997,4.835,0.0001047,0.388004,-0.94701
0.763004,7.69,1.59E-05,0.859435,-0.1515
0,9.219,0,0.952786,-0.04837
0,17.408,0,0.999979,-2.10E-05
7.657998,19.608,0.8564604,0.999998,-1.94116
1.886997,17.815,0.006173,0.999987,-0.00621
7.052004,9.141,0.790138,0.949886,-1.83416
4.195994,6.177,0.2544287,0.658331,-0.90658
0.514001,7.799,8.76E-07,0.869193,-0.14019
0,16.987,0,0.999968,-3.20E-05
5.569,5.615,0.543047,0.552324,-4.68021
0,34.927,0,1,-2.00E-14
0,26.082,0,1,-1.00E-09
0,18.61,0,0.999994,-5.60E-06
1.511994,14.085,0.0016244,0.999372,-0.00225
0.949998,10.373,7.50E-05,0.981265,-0.01899
0,5.974,0,0.621752,-0.47521
12.26199,14.788,0.9964353,0.999688,-5.72826
0.887998,15.443,4.68E-05,0.999839,-0.00021
6.411002,12.763,0.6977983,0.997762,-1.20409
4.276001,12.902,0.2704395,0.998037,-0.31801
4.869007,20.703,0.3953197,0.999999,-0.50306
0,10.438,0,0.982254,-0.0179
3.886001,18.144,0.1956447,0.999991,-0.21773
0.125004,39.797,1.42E-11,1,-1.40E-11
0,19.69,0,0.999998,-1.70E-06
0,20.017,0,0.999999,-1.20E-06
0,12.888,0,0.99801,-0.00199
2.031002,13.138,0.0093921,0.99843,-0.01102
0,9.939,0,0.973238,-0.02713
1.717998,7.226,0.0035507,0.811195,-0.21363
0,18.957,0,0.999996,-3.80E-06
1.263009,7.99,0.0005133,0.884953,-0.1228
0,35.134,0,1,-1.50E-14
2.326997,6.758,0.0197125,0.750691,-0.31337
0,6.086,0,0.642193,-0.44287
2.433994,5.992,0.0249158,0.625079,-0.51055
2.248995,5.072,0.0164436,0.438955,-0.86154
9.843006,14.853,0.9710831,0.999708,-3.55349
1.653994,11.874,0.0028237,0.994923,-0.00793
0,21.483,0,1,-2.30E-07
5.774001,6.882,0.583761,0.767927,-1.69192
0.205001,4.526,7.24E-10,0.322084,-1.13294
0,3.543,0,0.138321,-1.97818
2.566998,26.232,0.0326347,1,-0.03318
5.179,22.113,0.4618139,1,-0.61955
0,14.22,0,0.999451,-0.00055
0,11.724,0,0.994188,-0.00583
1.272004,25.233,0.0005377,1,-0.00054
0,22.347,0,1,-8.40E-08
2.191995,19.196,0.0143163,0.999997,-0.01442
1.615001,9.4,0.0024415,0.958945,-0.04447
2.628997,7.964,0.036736,0.882905,-0.16704
3.798001,13.97,0.180079,0.999297,-0.1994
0.209004,5.716,8.43E-10,0.572412,-0.5579
1.565997,6.713,0.0020201,0.744219,-0.29814
5.850009,6.072,0.5984144,0.639672,-3.18791
3.276003,4.153,0.1005612,0.245951,-1.92834
0,19.674,0,0.999998,-1.70E-06
0.718999,8.395,1.04E-05,0.913187,-0.09083
1.999006,20.235,0.0085877,0.999999,-0.00863
0,21.858,0,1,-1.50E-07
2.685001,7.24,0.0407275,0.812817,-0.25865
0,9.425,0,0.959736,-0.0411
1.828005,27.271,0.0051301,1,-0.00514
0,11.624,0,0.993644,-0.00638
0,7.927,0,0.879938,-0.1279
1.763006,4.59,0.0041432,0.335605,-1.10424
2.323997,13.56,0.0195789,0.998953,-0.02084
7.581995,16.102,0.8491939,0.999919,-1.8923
0,15.151,0,0.999784,-0.00022
0,9.971,0,0.973924,-0.02642
0,11.282,0,0.991396,-0.00864
0,6.821,0,0.759558,-0.27502
0,21.141,0,1,-3.30E-07
0,16.414,0,0.999941,-5.90E-05
