rejected,accepted,F(g2),F(g1),LN(F(g1)-F(g2)
1.403995603,12.814,0.015387916,0.999844072,-0.015665916
0,15.053,0.002056485,0.999998913,-0.002059691
3.773000042,8.912,0.167784499,0.94883466,-0.247115906
0,42.029,0.002056485,1,-0.002058602
0,4.076,0.002056485,0.209010756,-1.575257423
4.936994936,24.991,0.353897876,1,-0.436797701
0,12.022,0.002056485,0.999324846,-0.002735376
0.698997404,6.218,0.005931761,0.607359478,-0.508448922
0,42.903,0.002056485,1,-0.002058602
0,25.953,0.002056485,1,-0.002058602
3.533995102,11.949,0.139244315,0.999233024,-0.15083602
2.468993838,11.557,0.052418728,0.998511554,-0.055414591
0,13.553,0.002056485,0.999965346,-0.002093329
1.818001594,9.096,0.025542104,0.95788283,-0.070056945
1.857000589,7.502,0.026737418,0.821531775,-0.229671868
0,8.935,0.002056485,0.950043893,-0.053414059
0,10.583,0.002056485,0.993393476,-0.00870075
1.078999366,17.02,0.010058137,0.999999995,-0.010109067
0,13.504,0.002056485,0.999961554,-0.002097128
4.634002224,19.422,0.298779807,1,-0.354933328
0,18.993,0.002056485,1,-0.002058602
0,10.771,0.002056485,0.994958456,-0.00712334
0,14.223,0.002056485,0.999992098,-0.00206652
1.442002828,12.324,0.0161469,0.999606975,-0.016678237
0,3.942,0.002056485,0.190089773,-1.671136266
1.940001547,11.131,0.029437338,0.997064193,-0.032908746
0.313996474,9.022,0.003356966,0.954413124,-0.050182167
2.96000205,5.343,0.084760294,0.432633522,-1.055917155
0,5.624,0.002056485,0.488954429,-0.719700738
2.060999672,7.561,0.033775487,0.829205334,-0.228872621
2.764003302,24.891,0.070405263,1,-0.073006554
1.953003879,7.066,0.029880129,0.758322854,-0.316846277
0,5.129,0.002056485,0.390581994,-0.945396451
1.112996365,5.302,0.010527572,0.424501896,-0.881951325
0,8.852,0.002056485,0.945570352,-0.058144216
5.609997734,25.148,0.486133288,1,-0.665791363
4.40099905,13.196,0.259254918,0.999927143,-0.300197093
0,8.284,0.002056485,0.905970771,-0.101020739
0,7.505,0.002056485,0.821927121,-0.198608712
0,6.314,0.002056485,0.625875863,-0.47189441
0,19.777,0.002056485,1,-0.002058602
2.780009061,8.884,0.071502473,0.94733124,-0.132584679
5.029996857,10.603,0.371521452,0.993578264,-0.474723853
4.422996516,7.755,0.262867709,0.852923195,-0.527538702
3.437003072,8.644,0.128664135,0.932965058,-0.217781798
4.238004561,6.065,0.23330636,0.577356837,-1.066966897
2.518007855,4.219,0.055124484,0.230377571,-1.741524141
3.382001154,21.667,0.122918638,1,-0.131155518
6.833008386,17.717,0.720118201,0.999999999,-1.273387915
3.249000467,21.256,0.109775709,1,-0.116281835
1.997005649,20.805,0.031419765,1,-0.031923955
0,66.409,0.002056485,1,-0.002058602
0,13.168,0.002056485,0.999922872,-0.002135893
0,9.988,0.002056485,0.985272223,-0.016926714
0,16.349,0.002056485,0.999999965,-0.002058637
0,15.697,0.002056485,0.999999793,-0.00205881
1.967997558,24.323,0.030397579,1,-0.030869167
0,10.554,0.002056485,0.993117185,-0.008979495
5.13200069,6.13,0.391164088,0.590168779,-1.614426881
0,7.254,0.002056485,0.786957766,-0.242197326
2.387001738,3.354,0.048129261,0.120063778,-2.631999064
0,39.967,0.002056485,1,-0.002058602
3.586998006,8.813,0.145269568,0.943361671,-0.22553127
8.049003576,19.468,0.884464841,1,-2.158180386
0,14.008,0.002056485,0.999987149,-0.00207148
6.130996719,9.049,0.590364529,0.955704817,-1.006926063
5.070001428,6.443,0.379188389,0.650300049,-1.305224515
3.71199958,9.06,0.160165163,0.956222533,-0.228084023
0,17.265,0.002056485,0.999999998,-0.002058605
5.787999183,33.021,0.522000171,1,-0.738144904
2.199002355,27.467,0.039351552,1,-0.040146756
0,11.119,0.002056485,0.997009333,-0.005059931
3.053999488,23.989,0.092378254,1,-0.096927566
1.634001155,14.769,0.020489482,0.999997816,-0.020704533
2.214995027,10.651,0.040043602,0.994003217,-0.04713394
0,10.635,0.002056485,0.993864421,-0.008225803
0.854001363,27.718,0.007387283,1,-0.007414704
0.790996273,25.471,0.006761448,1,-0.00678441
0,22.741,0.002056485,1,-0.002058602
0,18.373,0.002056485,1,-0.002058602
