Vehicle,Gender,Direction,Type,Queue,Waiting time [s],Gap,Vehicle type,Accepted
1,m,r,c,0,4.0,1.403995603,Car,False
2,f,r,c,0,3.796,2.203998293,Car,False
4,m,r,c,0,0.672,0.0,Artificial,False
5,m,r,c,0,6.25,3.773000042,Car,False
6,m,r,c,0,1.187,0.0,Artificial,False
7,m,r,c,0,1.781,0.0,Artificial,False
8,m,r,c,0,5.25,4.936994936,Car,False
9,m,r,c,0,2.719,0.0,Artificial,False
11,m,r,c,0,1.953,0.698997404,Car,False
12,f,r,c,1,4.797,0.0,Artificial,False
13,m,r,c,0,3.094,0.0,Artificial,False
15,m,r,c,0,1.407,0.0,Artificial,False
16,f,r,c,0,3.125,2.578005518,Car,False
17,m,r,c,0,5.578,3.533995102,Car,False
18,m,r,c,0,4.016,2.468993838,Car,False
19,f,r,c,0,4.157,2.278000116,Car,False
20,m,r,c,0,1.735,0.0,Artificial,False
21,m,r,c,1,4.469,1.818001594,Car,False
22,m,r,c,0,5.157,1.857000589,Car,False
23,m,r,c,0,2.094,0.0,Artificial,False
24,m,r,c,0,1.266,0.0,Artificial,False
25,m,r,c,0,2.062,1.078999366,Car,False
26,m,r,c,0,3.031,0.0,Artificial,False
27,m,r,c,0,14.828,4.634002224,Car,False
29,m,r,c,0,2.485,0.0,Artificial,False
31,f,r,c,0,7.672,3.650996089,Disturbance,False
32,m,r,c,0,2.484,0.0,Artificial,False
33,f,r,c,0,3.0,0.0,Artificial,False
34,m,r,c,0,5.25,0.0,Artificial,False
35,m,r,c,0,3.641,1.442002828,MTW,False
36,m,r,c,1,16.266,0.0,Artificial,False
37,f,r,c,1,21.046,8.298999444,Car,False
38,f,r,c,0,10.453,2.80099767,Car,False
39,f,r,c,0,13.75,5.085991323,Car,False
40,m,r,c,1,4.516,1.940001547,Car,False
41,m,r,c,0,4.453,0.313996474,Car,False
42,m,r,c,0,4.625,2.96000205,Car,False
43,m,r,c,0,2.156,0.0,Artificial,False
44,m,r,c,0,3.5,2.060999672,Car,False
45,m,r,c,0,3.593,2.764003302,Car,False
46,m,r,c,0,13.797,1.953003879,Car,False
47,m,r,c,0,1.016,0.0,Artificial,False
48,m,r,c,0,2.391,1.112996365,Car,False
49,m,r,c,0,2.968,0.0,Artificial,False
50,m,r,c,1,18.75,5.609997734,Car,False
51,f,r,c,0,9.547,4.249997064,Car,False
52,f,r,c,0,3.782,0.0,Artificial,False
53,m,r,c,0,5.125,4.40099905,Car,False
55,m,r,c,0,1.828,0.0,Artificial,False
56,m,r,c,0,2.391,0.0,Artificial,False
57,f,r,c,0,3.594,1.970998149,Car,False
58,m,r,c,0,2.219,0.0,Artificial,False
59,m,r,c,0,2.875,0.0,Artificial,False
60,m,r,c,1,5.734,2.780009061,MTW,False
61,f,r,c,0,19.968,9.729991481,Car,False
62,m,r,c,0,16.532,5.029996857,Car,False
63,m,r,c,0,11.328,4.422996516,Car,False
64,f,r,c,0,4.797,2.132996868,Car,False
65,f,r,c,1,7.875,5.109001647,Car,False
66,m,r,c,0,9.453,3.437003072,Car,False
67,f,r,c,1,3.188,0.0,Artificial,False
68,m,r,c,1,7.344,4.238004561,Car,False
69,f,r,c,1,10.797,6.951008365,Car,False
70,m,r,c,0,9.469,2.518007855,Car,False
71,m,r,c,0,8.157,3.382001154,Car,False
