rejected,accepted,F(g2),F(g1),LN(F(g1)-F(g2)
2.203998,34.023,0.00159,1,-0.00159
0,46.466,0,1,0
2.578006,8.407,0.005036,0.819863,-0.20478
2.278,14.068,0.00204,0.998266,-0.00378
3.650996,18.474,0.046944,0.999983,-0.0481
0,12.983,0,0.995126,-0.00489
8.298999,18.999,0.807574,0.999991,-1.64809
2.800998,15.264,8.96E-03,0.999476,-0.00953
5.085991,7.259,0.233252,0.657618,-0.85716
4.249997,22.554,0.105064,1,-1.11E-01
0,9.836,0,0.931672,-0.07077
1.970998,6.767,0.000667,0.568101,-0.56663
9.729991,19.342,0.926156,0.999994,-2.60588
2.132997,11.906,0.001237,0.98715,-0.01419
5.109002,11.894,0.23743,0.987015,-0.28824
0,6.332,0,0.481905,-0.73001
6.951008,7.61,0.602762,0.714594,-2.19076
5.637994,11.351,0.33975,0.979342,-0.44692
4.340998,20.068,0.116476,0.999997,-0.12384
0,25.26,0,1,-5.00E-09
6.473994,24.242,0.51057,1,-7.15E-01
2.573002,6.567,0.004967,0.529099,-0.64601
4.975001,11.794,0.21351,0.985838,-0.25835
0.572993,20.963,8.35E-09,0.999999,-9.50E-07
6.875001,13.786,0.588601,0.997721,-0.89375
0,23.614,0,1,-3.90E-08
1.399995,12.382,3.82E-05,0.991565,-0.00851
1.965995,9.391,0.000654,0.905899,-0.09955
0,11.902,0,0.987105,-0.01298
4.289999,13.025,0.109997,0.995313,-0.12181
0.733,7.222,9.42E-08,0.651256,-0.42885
3.041997,14.414,0.015484,0.998767,-0.01686
1.435005,11.605,4.74E-05,0.983339,-0.01685
7.878,8.751,0.753779,0.855056,-2.2899
5.787006,12.51,0.370053,0.992484,-0.47412
0,18.376,0,0.999982,-1.80E-05
1.807999,17.72,0.000333,0.999962,-0.00037
1.964996,6.27,0.000651,0.469275,-0.75795
1.995999,22.791,0.000737,1,-0.00074
2.183002,5.475,0.001478,0.307164,-1.1852
4.414,37.111,0.126116,1,-1.35E-01
7.801992,16.21,0.743055,0.999804,-1.35966
7.521004,15.461,0.700742,0.999572,-1.20788
6.147998,11.53,0.444279,0.98224,-0.61997
6.163005,13.043,0.447362,0.99539,-0.60143
0,6.179,0,0.450645,-0.79707
0,10.595,0,0.961739,-0.03901
2.341994,6.898,0.002509,0.59291,-0.52695
0,7.022,0,0.615776,-0.48487
5.650002,11.609,0.342176,0.983396,-0.44438
0,8.801,0,0.859689,-0.15118
2.300996,19.446,0.0022,0.999995,-0.00221
0,8.51,0,0.831022,-0.1851
0,18.65,0,0.999986,-1.40E-05
0,6.201,0,0.455158,-7.87E-01
3.322,8.073,0.026926,0.779873,-0.28376
6.006002,12.161,0.415055,0.989729,-0.55395
3.992998,9.228,0.076523,0.894612,-0.20078
1.144002,4.434,6.28E-06,0.128831,-2.0493
2.716997,12.249,0.007273,0.990501,-0.01691
1.917994,8.348,0.000537,0.813225,-0.20741
0,4.23,0,0.102647,-2.27646
6.708,8.287,0.556728,0.806171,-1.38852
2.401999,5.603,0.003023,0.332696,-1.10966
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
